"cve_ent","poblacion","nombre","totalCasos","tasax100k"
"17019","28871","Tepalcingo","1","3.4636"
"17020","51373","Tepoztlan","1","1.9465"
"17021","8326","Tetecala","1","12.0105"
"17030","56334","Yecapixtla","1","1.7751"
"18016","43043","Tecuala","1","2.3232"
"18018","33358","Tuxpan","1","2.9977"
"19009","105145","Cadereyta Jimenez","1","0.9510"
"19010","47326","El Carmen","1","2.1130"
"20013","3096","Cienega de Zimatlan","1","32.2997"
"20026","9427","Chalcatongo de Hidalgo","1","10.6078"
"1003","60760","Calvillo","0","0.0000"
"1004","16918","Cosio","0","0.0000"
"1008","9661","San Jose de Gracia","0","0.0000"
"1011","51568","San Francisco de los Romo","0","0.0000"
"3001","83051","Comondu","0","0.0000"
"3009","21657","Loreto","0","0.0000"
"4004","99945","Champoton","0","0.0000"
"4005","34683","Hecelchakan","0","0.0000"
"4006","44051","Hopelchen","0","0.0000"
"4007","9868","Palizada","0","0.0000"
"4008","11930","Tenabo","0","0.0000"
"4009","63495","Escarcega","0","0.0000"
"4010","31723","Calakmul","0","0.0000"
"5001","1130","Abasolo","0","0.0000"
"5005","1945","Candela","0","0.0000"
"5008","3353","Escobedo","0","0.0000"
"5011","13501","General Cepeda","0","0.0000"
"5012","1964","Guerrero","0","0.0000"
"5013","1888","Hidalgo","0","0.0000"
"5015","1722","Juarez","0","0.0000"
"5016","1984","Lamadrid","0","0.0000"
"5022","33101","Nava","0","0.0000"
"5023","11628","Ocampo","0","0.0000"
"5024","48694","Parras","0","0.0000"
"5026","3654","Progreso","0","0.0000"
"5034","7740","Sierra Mojada","0","0.0000"
"5036","23781","Viesca","0","0.0000"
"5037","6859","Villa Union","0","0.0000"
"5038","14203","Zaragoza","0","0.0000"
"6001","32363","Armeria","0","0.0000"
"6003","23902","Comala","0","0.0000"
"6004","22167","Coquimatlan","0","0.0000"
"6006","6078","Ixtlahuacan","0","0.0000"
"6008","9670","Minatitlan","0","0.0000"
"6009","134631","Tecoman","0","0.0000"
"7001","19856","Acacoyagua","0","0.0000"
"7002","34494","Acala","0","0.0000"
"7003","31069","Acapetahua","0","0.0000"
"7004","35982","Altamirano","0","0.0000"
"7005","21836","Amatan","0","0.0000"
"7006","33860","Amatenango de la Frontera","0","0.0000"
"7007","10779","Amatenango del Valle","0","0.0000"
"7008","30925","Angel Albino Corzo","0","0.0000"
"7010","8324","Bejucal de Ocampo","0","0.0000"
"7011","22028","Bella Vista","0","0.0000"
"7012","56971","Berriozabal","0","0.0000"
"7013","38101","Bochil","0","0.0000"
"7014","24374","El Bosque","0","0.0000"
"7015","50439","Cacahoatan","0","0.0000"
"7016","19006","Catazaja","0","0.0000"
"7017","93518","Cintalapa","0","0.0000"
"7018","10035","Coapilla","0","0.0000"
"7020","50535","La Concordia","0","0.0000"
"7021","24030","Copainala","0","0.0000"
"7022","18016","Chalchihuitan","0","0.0000"
"7023","95357","Chamula","0","0.0000"
"7024","13332","Chanal","0","0.0000"
"7025","8248","Chapultenango","0","0.0000"
"7026","43453","Chenalho","0","0.0000"
"7028","6406","Chiapilla","0","0.0000"
"7029","5605","Chicoasen","0","0.0000"
"7031","140023","Chilon","0","0.0000"
"7032","34628","Escuintla","0","0.0000"
"7033","8278","Francisco Leon","0","0.0000"
"7035","15741","Frontera Hidalgo","0","0.0000"
"7036","7882","La Grandeza","0","0.0000"
"7037","38185","Huehuetan","0","0.0000"
"7038","25616","Huixtan","0","0.0000"
"7039","25161","Huitiupan","0","0.0000"
"7042","12317","Ixhuatan","0","0.0000"
"7043","11777","Ixtacomitan","0","0.0000"
"7044","29778","Ixtapa","0","0.0000"
"7045","5988","Ixtapangajoya","0","0.0000"
"7046","43292","Jiquipilas","0","0.0000"
"7047","22619","Jitotol","0","0.0000"
"7048","23527","Juarez","0","0.0000"
"7049","25725","Larrainzar","0","0.0000"
"7050","5424","La Libertad","0","0.0000"
"7051","51875","Mapastepec","0","0.0000"
"7052","134759","Las Margaritas","0","0.0000"
"7053","8552","Mazapa de Madero","0","0.0000"
"7054","31856","Mazatan","0","0.0000"
"7055","6191","Metapa","0","0.0000"
"7056","13286","Mitontic","0","0.0000"
"7057","79732","Motozintla","0","0.0000"
"7058","4726","Nicolas Ruiz","0","0.0000"
"7060","13773","Ocotepec","0","0.0000"
"7061","100318","Ocozocoautla de Espinosa","0","0.0000"
"7062","19969","Ostuacan","0","0.0000"
"7063","4110","Osumacinta","0","0.0000"
"7064","51731","Oxchuc","0","0.0000"
"7066","24107","Pantelho","0","0.0000"
"7067","13370","Pantepec","0","0.0000"
"7068","34340","Pichucalco","0","0.0000"
"7069","58167","Pijijiapan","0","0.0000"
"7070","15501","El Porvenir","0","0.0000"
"7071","31522","Villa Comaltitlan","0","0.0000"
"7072","35144","Pueblo Nuevo Solistahuacan","0","0.0000"
"7073","10564","Rayon","0","0.0000"
"7075","30874","Las Rosas","0","0.0000"
"7076","29348","Sabanilla","0","0.0000"
"7079","42939","San Fernando","0","0.0000"
"7080","39536","Siltepec","0","0.0000"
"7081","48046","Simojovel","0","0.0000"
"7082","15524","Sitala","0","0.0000"
